"Lect_vs_Lect","Distance"
"A'ou vs. Oroch",2.54101558549319
"A'ou vs. Ostfränkisch",7.40327786553694
"A'ou vs. Pa-Hng",4.61029292475768
"A'ou vs. Pacoh",3.14513228793481
"A'ou vs. Paite Chin",1.30587106759292
"A'ou vs. Pela",1.99839326895317
"A'ou vs. Peripheral Mongolian",3.67021201185666
"A'ou vs. Phom Naga",2.246506913371
"A'ou vs. Piemontese",5.77934627623708
"A'ou vs. Pite Saami",4.07372841467426
"A'ou vs. Pnar",3.97083623847134
"A'ou vs. Pontic",5.55279105285743
"A'ou vs. Portuguese",3.29107668324744
"A'ou vs. Pu-Xian Chinese",1.60084184712492
"A'ou vs. Purik-Sham-Nubra",5.93205478919211
"A'ou vs. Pwo Eastern Karen",2.7823193889239
"A'ou vs. Rabha",2.29621546162397
"A'ou vs. Rajbanshi",2.91256140763649
"A'ou vs. Ravula",5.09771425606153
"A'ou vs. Russia Buriat",3.13164497676308
"A'ou vs. Russian",5.4521699426725
"A'ou vs. Rutul",5.60780215146165
"A'ou vs. Sadri",5.28584381638268
"A'ou vs. Sadu",2.08274056714433
"A'ou vs. Sakha",3.41085453262906
"A'ou vs. Sangkong",2.28681672546549
"A'ou vs. Sani",4.64821947602252
"A'ou vs. Santali",2.9485694394591
"A'ou vs. Saurashtra",5.47261591327851
"A'ou vs. Sedang",3.50105754378315
"A'ou vs. Selkup",5.03002830810762
"A'ou vs. Semelai",5.00854589250038
"A'ou vs. Shixing",1.25991710897589
"A'ou vs. Sholaga",5.26449108678729
"A'ou vs. Sichuan Yi",5.05510387784609
"A'ou vs. Sikkimese",2.63605320970414
"A'ou vs. Sindhi",5.24143234127702
"A'ou vs. Sinhala",2.92945212978958
"A'ou vs. Situ",5.97592707079265
"A'ou vs. Solu-Khumbu Sherpa",4.52988768948415
"A'ou vs. Sora",3.24925953958962
"A'ou vs. South Azerbaijani",5.08350209651636
"A'ou vs. South Wa",2.87636631832174
"A'ou vs. Southeast Pashayi",2.71744599961646
"A'ou vs. Southern Altai",5.14364514135171
"A'ou vs. Southern Amami-Oshima",3.26877941762667
"A'ou vs. Southern Jinghpaw",2.4458058616193
"A'ou vs. Southern Pashto",4.07632984371126
"A'ou vs. Southern Pumi",1.39630189313894
"A'ou vs. Southern Qiang",0.838537639668568
"A'ou vs. Southern Rengma Naga",2.17151914154701
"A'ou vs. Southern Yukaghir",5.21098732598049
"A'ou vs. Southwestern Dargwa",5.70271035910203
"A'ou vs. Sri Lanka Malay",5.20682314073899
"A'ou vs. Standard Malay",5.02348986822735
"A'ou vs. Stau-Dgebshes",3.78805302459133
"A'ou vs. Sui",2.1930849432037
"A'ou vs. Sunwar",3.30278729717141
"A'ou vs. Tai Do-Mene-Yo",2.52022565265184
"A'ou vs. Tamil",3.80375495355687
"A'ou vs. Tangam",5.1712380851718
"A'ou vs. Tatar",5.23052259842407
"A'ou vs. Thado Chin",1.88988383510268
"A'ou vs. Thai",2.48425822996917
"A'ou vs. Thakali",4.58888470035302
"A'ou vs. Thangmi",3.20338985627473
"A'ou vs. Thulung",3.48435364035203
"A'ou vs. Tibetan",4.61546046005688
"A'ou vs. Toda",4.98302995102438
"A'ou vs. Tsat",1.32305892144706
"A'ou vs. Tsez",5.10325052509633
"A'ou vs. Tshangla",3.00300513103414
"A'ou vs. Tulu",5.36917214801148
"A'ou vs. Tundra Nenets",5.04775149540494
"A'ou vs. Tuvinian",5.07196682901663
"A'ou vs. Udihe",5.04476688245236
"A'ou vs. Uighur",5.43315975568517
"A'ou vs. Vaagri Booli",5.14465718714087
"A'ou vs. Vach-Vasjugan",5.0245486673425
"A'ou vs. Varhadi-Nagpuri",4.9397946441262
"A'ou vs. Vietnamese",2.87493920252959
"A'ou vs. Waddar",5.70974043817175
"A'ou vs. Wambule",3.6621505680727
"A'ou vs. Wayu",3.22349425552283
"A'ou vs. Welsh",4.49190150784925
"A'ou vs. West Yugur",3.2656302499772
"A'ou vs. Western Armenian",6.23721074160408
"A'ou vs. Western Magar",5.48950881290075
"A'ou vs. Western Muya",4.7926875103143
"A'ou vs. Western Ong-Be",1.2229720687063
"A'ou vs. Western Parbate Kham",2.79370356457788
"A'ou vs. Western Puroik",3.52477907185805
"A'ou vs. Western Tamang",2.08012548359263
"A'ou vs. Western Xiangxi Miao",3.68703673066616
"A'ou vs. Westphalic",5.20566418900783
"A'ou vs. Wu Chinese",1.84976146075455
"A'ou vs. Wuding-Luquan Yi",2.04696430751635
"A'ou vs. Wutunhua",5.37958608831507
"A'ou vs. Yakkha",3.79992405168993
"A'ou vs. Yerong-Southern Buyang",2.0660110751764
"A'ou vs. Yongbei Zhuang",2.23800359780465
"A'ou vs. Youle Jinuo",2.2340631796644
"A'ou vs. Yue Chinese",4.88944931336649
"A'ou vs. Zaiwa",4.68634821645724
"A'ou vs. Zauzou",2.57930023995277
"A'ou vs. Zbu",5.40920676857741
"A'ou vs. Zeme Naga",2.1252760900633
"Akajeru vs. Akajeru",0
"Akajeru vs. Amdo Tibetan",4.51466534035821
"Akajeru vs. Angami Naga",3.54683482648177
"Akajeru vs. Ao Naga",3.06220532495869
"Akajeru vs. Archi",4.58209281673636
"Akajeru vs. Aromanian",3.65009587327207
"Akajeru vs. Arpitan",1.8649964446103
"Akajeru vs. Arvanitika Albanian",3.17500548926495
"Akajeru vs. Asho Chin",5.01966070392079
"Akajeru vs. Assamese",2.29951351128437
"Akajeru vs. Asturian-Leonese-Cantabrian",0.910547232709441
"Akajeru vs. Atong (India)",4.10140112437298
"Akajeru vs. Avar",4.55973906298777
"Akajeru vs. Baba Malay",4.77669823369454
"Akajeru vs. Badaga",4.06028850081817
"Akajeru vs. Bagvalal",4.67536946084249
"Akajeru vs. Bantawa",3.34898771440848
"Akajeru vs. Basque",2.67055401138935
"Akajeru vs. Betta Kurumba",2.83507111239289
"Akajeru vs. Bezhta",4.99516873236645
"Akajeru vs. Bih",1.25136324543744
"Akajeru vs. Bisu",2.82684385866439
"Akajeru vs. Biyo",2.73911318593667
"Akajeru vs. Bodo-Mech",4.71501693989613
"Akajeru vs. Bolyu",2.6035928042098
"Akajeru vs. Bonan",4.0974645154069
"Akajeru vs. Budukh",4.42170661530104
"Akajeru vs. Bugan",2.51525031688849
"Akajeru vs. Bujhyal",2.00012895971943
"Akajeru vs. Bulo Stieng",1.99063351619139
"Akajeru vs. Bunan",2.89266828876511
"Akajeru vs. Burmese",3.48215140773056
"Akajeru vs. Burushaski",4.27679510012553
"Akajeru vs. Cao Miao",2.5340597174104
"Akajeru vs. Catalan",2.03838734496653
"Akajeru vs. Central Bai",3.44777255142284
"Akajeru vs. Central Chong",3.10523548061573
"Akajeru vs. Central Hongshuihe Zhuang",2.3412766024352
"Akajeru vs. Central Khmer",2.49835335016722
"Akajeru vs. Chak",7.2965177413409
"Akajeru vs. Chintang",4.1238543923391
"Akajeru vs. Chitwania Tharu",2.37163751575224
"Akajeru vs. Chong of Chanthaburi",3.44328283086208
"Akajeru vs. Chothe",4.59686249992422
"Akajeru vs. Chukchi",4.18450567123268
"Akajeru vs. Chut",3.05936608145539
"Akajeru vs. Chuvash",4.44265615451106
"Akajeru vs. Cosao",2.50500478919544
"Akajeru vs. Cypriot Arabic",3.63651741113153
"Akajeru vs. Daai Chin",3.34901480683737
"Akajeru vs. Dagur",4.10710438585608
"Akajeru vs. Daman-Diu Portuguese",2.41908734576018
"Akajeru vs. Dandami Maria",4.84040239677957
"Akajeru vs. Danish",5.19970123916577
"Akajeru vs. Daohua",3.35721756123749
"Akajeru vs. Dari",1.81152806936939
"Akajeru vs. Darma",4.76918694095244
"Akajeru vs. Deori",4.62551117143329
"Akajeru vs. Dhimal",2.51381839588492
"Akajeru vs. Dhivehi",1.67280614774712
"Akajeru vs. Domari",4.40323467232701
"Akajeru vs. Dongxiang",4.72886781444852
"Akajeru vs. Duhumbi",4.19611283107213
"Akajeru vs. Dumi",2.22118872933368
"Akajeru vs. Dungan",2.6583119660152
"Akajeru vs. Duoluo Gelao",2.5324593161811
"Akajeru vs. Dutch",2.83069331081411
"Akajeru vs. Dzongkha",4.06042588485799
"Akajeru vs. E",3.12396265802536
"Akajeru vs. Eastern Katu",1.79474665560683
"Akajeru vs. Eastern Kayah",3.74780835579639
"Akajeru vs. Eastern Magar",3.82228278090941
"Akajeru vs. Eastern Newari",2.40880200461679
"Akajeru vs. Eastern Panjabi",3.09170775292701
"Akajeru vs. Eastern Tamang",3.07604879018755
"Akajeru vs. Enu",3.37464983570639
"Akajeru vs. Ersu",3.74007812457709
"Akajeru vs. Estonian Swedish",2.61370887157898
"Akajeru vs. Evenki",4.16135484310689
"Akajeru vs. Forest Enets",1.53940493427595
"Akajeru vs. French",3.91609899050054
"Akajeru vs. Friulian",4.83616313651323
"Akajeru vs. Galo",4.58580273330092
"Akajeru vs. Gan Chinese",2.48076984487407
"Akajeru vs. Gata'",2.27923728008258
"Akajeru vs. Georgian",7.50636783826413
"Akajeru vs. German",5.62868646432157
"Akajeru vs. Gheg Albanian",5.62606127310682
"Akajeru vs. Gilaki",4.41136855467106
"Akajeru vs. Godoberi",3.55094804870046
"Akajeru vs. Godwari",2.51173051260675
"Akajeru vs. Gujarati",5.14134996409224
"Akajeru vs. Gurani",4.95930248547352
"Akajeru vs. Hakka Chinese",2.31185346681367
"Akajeru vs. Halbi",4.46004945525512
"Akajeru vs. Halh Mongolian",4.6583595105802
"Akajeru vs. Hills Karbi",2.69868601877234
"Akajeru vs. Hindi",4.27887785688733
"Akajeru vs. Hinuq",2.44183509822631
"Akajeru vs. Hmong Njua",3.61818728211014
"Akajeru vs. Hokkaido Ainu",4.13429258845718
"Akajeru vs. Honi",2.60792933869135
"Akajeru vs. Hui Chinese",2.50126488054481
"Akajeru vs. Hungarian",4.87997249071019
"Akajeru vs. Icelandic",3.24996960328791
"Akajeru vs. Ingrian",1.19439294301622
"Akajeru vs. Irula of the Nilgiri",4.38833186504007
"Akajeru vs. Italian",2.24349645668383
"Akajeru vs. Iu Mien",3.07369004711551
"Akajeru vs. Japanese",4.84108069656179
"Akajeru vs. Japhug",5.18501915849672
"Akajeru vs. Jarawa (India)",4.0367704269582
"Akajeru vs. Jejueo",2.0699855903203
"Akajeru vs. Jennu Kurumba",4.15944120894015
"Akajeru vs. Jerung",1.39565661651993
"Akajeru vs. Jinyu Chinese",2.63721056433391
"Akajeru vs. Jiongnai Bunu",3.39583120313263
"Akajeru vs. Kabardian",5.256926268204
"Akajeru vs. Kadar",1.88745785676413
"Akajeru vs. Kado",3.46333864845667
"Akajeru vs. Kaduo",2.82364614577343
"Akajeru vs. Kashmiri",2.09209462717388
"Akajeru vs. Kathmandu Valley Newari",3.24441729890511
"Akajeru vs. Katso",3.2566215263671
"Akajeru vs. Kayan Lahwi",2.8715561003733
"Akajeru vs. Kazakh",4.40730773362378
"Akajeru vs. Kelantan-Pattani Malay",4.06347559245271
"Akajeru vs. Ket",5.17559430873209
"Akajeru vs. Khams Tibetan",2.9490239796434
"Akajeru vs. Khasi",4.77226680565039
"Akajeru vs. Khezha Naga",3.38101925004907
"Akajeru vs. Khinalug",5.25178801786157
"Akajeru vs. Khmu",1.61547482904306
"Akajeru vs. Kirghiz",4.21744036611584
"Akajeru vs. Kirmanjki",2.36308031731245
"Akajeru vs. Kman",2.61464304809344
"Akajeru vs. Kodava",4.13432358789123
"Akajeru vs. Koi",1.88651346949411
"Akajeru vs. Koireng",2.66425509993983
"Akajeru vs. Komi-Zyrian",4.29563020277445
"Akajeru vs. Konda-Dora",4.22221567117345
"Akajeru vs. Konkan Marathi",4.55554368636955
"Akajeru vs. Korean",2.06498640889788
"Akajeru vs. Korku",4.24003480198745
"Akajeru vs. Korra Koraga",4.24494749341675
"Akajeru vs. Koryak",4.1185863469391
"Akajeru vs. Kotia-Adivasi Oriya-Desiya",4.16079244807015
"Akajeru vs. Kucong",2.6534603601039
"Akajeru vs. Kui (India)",4.21625947291711
"Akajeru vs. Kumaoni",3.39244620611451
"Akajeru vs. Kumarbhag Paharia",4.77948888484371
"Akajeru vs. Kumyk",4.46071093218205
"Akajeru vs. Kurtokha",2.78222939553382
"Akajeru vs. Kuy",2.06047393995883
"Akajeru vs. Kyerung",4.57717176516885
"Akajeru vs. Lachi",2.5774612859991
"Akajeru vs. Ladino",1.64563939577416
"Akajeru vs. Lahu",3.15946455113677
"Akajeru vs. Lak",4.68646094687393
"Akajeru vs. Lakkia",2.74447078166893
"Akajeru vs. Lambadi",4.39857548691398
"Akajeru vs. Lamjung-Melamchi Yolmo",4.64396151887986
"Akajeru vs. Lao",2.89322887529922
"Akajeru vs. Lashi",2.39617831797136
"Akajeru vs. Laven",2.97963773652546
"Akajeru vs. Laz",5.25929719449537
"Akajeru vs. Leh Ladakhi",4.64896643659503
"Akajeru vs. Lepcha",5.01275614717068
"Akajeru vs. Lhomi",4.5762838685555
"Akajeru vs. Liangmai Naga",2.63890581947839
"Akajeru vs. Limbu",4.56583996168052
"Akajeru vs. Lisu",3.13720536868472
"Akajeru vs. Longchuan Achang",2.61424711679233
"Akajeru vs. Macedonian",4.85670551972415
"Akajeru vs. Maithili",2.11699942489155
"Akajeru vs. Malacca-Batavia Portuguese Creole",1.96143190461271
"Akajeru vs. Malavedan",4.11844605975999
"Akajeru vs. Malayalam",2.71781638074473
