Lect_vs_Lect,Distance
Akajeru vs. Estonian Swedish,2.61387277444741
Akajeru vs. Evenki,4.16136615419465
Akajeru vs. Forest Enets,1.53943551040656
Akajeru vs. French,3.91661905432915
Akajeru vs. Friulian,4.83644193810916
Akajeru vs. Galo,4.58183939295895
Akajeru vs. Gan Chinese,2.47344230687223
Akajeru vs. Gata',2.27964025786553
Akajeru vs. Georgian,7.50799944806399
Akajeru vs. German,5.62934766929312
Akajeru vs. Gheg Albanian,5.62655084379686
Akajeru vs. Gilaki,4.41143508422121
Akajeru vs. Godoberi,3.54647916950854
Akajeru vs. Godwari,2.51191872929457
Akajeru vs. Gujarati,5.14172374199343
Akajeru vs. Gurani,4.95948679453005
Akajeru vs. Hakka Chinese,2.30399466789661
Akajeru vs. Halbi,4.46005844765037
Akajeru vs. Halh Mongolian,4.65837942395256
Akajeru vs. Hills Karbi,2.69194236120205
Akajeru vs. Hindi,4.2789667471801
Akajeru vs. Hinuq,2.44187627385283
Akajeru vs. Hmong Njua,3.61323553131061
Akajeru vs. Hokkaido Ainu,4.13432822582331
Akajeru vs. Honi,2.60095243497546
Akajeru vs. Hui Chinese,2.49399931799259
Akajeru vs. Hungarian,4.88012912732598
Akajeru vs. Icelandic,3.25062489161256
Akajeru vs. Ingrian,1.19449334070807
Akajeru vs. Irula of the Nilgiri,4.3883567926091
Akajeru vs. Italian,2.2439802643524
Akajeru vs. Iu Mien,3.06811979370077
Akajeru vs. Japanese,4.83741204872948
Akajeru vs. Japhug,5.18565894127906
Akajeru vs. Jarawa (India),4.03677601556654
Akajeru vs. Jejueo,2.07003163975588
Akajeru vs. Jennu Kurumba,4.15949002278285
Akajeru vs. Jerung,1.39570518070098
Akajeru vs. Jinyu Chinese,2.63032967524249
Akajeru vs. Jiongnai Bunu,3.39075860234722
Akajeru vs. Kabardian,5.25722300276529
Akajeru vs. Kadar,1.88762593209011
Akajeru vs. Kado,3.45833462585509
Akajeru vs. Kaduo,2.81720760109369
Akajeru vs. Kashmiri,2.09211723409871
Akajeru vs. Kathmandu Valley Newari,2.4592995988916
Akajeru vs. Katso,3.25104806382389
Akajeru vs. Kayan Lahwi,2.86527862644626
Akajeru vs. Kazakh,4.40732820861073
Akajeru vs. Kelantan-Pattani Malay,4.06349000333552
Akajeru vs. Ket,5.17209057562858
Akajeru vs. Khams Tibetan,2.94286183886516
Akajeru vs. Khasi,4.74054570206038
Akajeru vs. Khezha Naga,3.37563694899868
Akajeru vs. Khinalug,5.25212857083289
Akajeru vs. Khmu,1.61561856898898
Akajeru vs. Kirghiz,4.21744987579926
Akajeru vs. Kirmanjki,2.36311048984173
Akajeru vs. Kman,2.60781407355662
Akajeru vs. Kodava,4.13437481943785
Akajeru vs. Koi,1.8867563947963
Akajeru vs. Koireng,2.65741350314044
Akajeru vs. Komi-Zyrian,4.2956403336186
Akajeru vs. Konda-Dora,4.22222597816904
Akajeru vs. Konkan Marathi,4.55580040096852
Akajeru vs. Korean,2.0650325698133
Akajeru vs. Korku,4.24010720490147
Akajeru vs. Korra Koraga,4.2450442405677
Akajeru vs. Koryak,4.11861075935425
Akajeru vs. Kotia-Adivasi Oriya-Desiya,4.16080666089738
Akajeru vs. Kucong,2.64660632811217
Akajeru vs. Kui (India),4.21633336022524
Akajeru vs. Kumaoni,3.3928000422921
Akajeru vs. Kumarbhag Paharia,4.77949727622901
Akajeru vs. Kumyk,4.46072405975053
Akajeru vs. Kurtokha,2.77575419209584
Akajeru vs. Kuy,2.06054601092582
Akajeru vs. Kyerung,4.57320656990735
Akajeru vs. Lachi,2.57055457564344
Akajeru vs. Ladino,1.64584368979653
Akajeru vs. Lahu,3.15371298270544
Akajeru vs. Lak,4.68648971105633
Akajeru vs. Lakkia,2.73804746262769
Akajeru vs. Lambadi,4.39875040835068
Akajeru vs. Lamjung-Melamchi Yolmo,4.64008679318132
Akajeru vs. Lao,2.88695230347756
Akajeru vs. Lashi,2.38858149593205
Akajeru vs. Laven,2.98031182037192
Akajeru vs. Laz,5.25993484742136
Akajeru vs. Leh Ladakhi,4.64922384929246
Akajeru vs. Lepcha,5.00942179132388
Akajeru vs. Lhomi,4.5723114700334
Akajeru vs. Liangmai Naga,2.63204693314823
Akajeru vs. Limbu,4.56613692844735
Akajeru vs. Lisu,3.13170230399279
Akajeru vs. Longchuan Achang,2.60740640907949
Akajeru vs. Macedonian,4.85707095596303
Akajeru vs. Maithili,2.11716009857273
Akajeru vs. Malacca-Batavia Portuguese Creole,1.96146385372188
Akajeru vs. Malavedan,4.11850075832405
Akajeru vs. Malayalam,2.7181158696404
Akajeru vs. Manchu,1.55136820562922
Akajeru vs. Mandarin Chinese,2.85430591335483
Akajeru vs. Mang,2.46276519717511
Akajeru vs. Mangghuer,4.71478299889146
Akajeru vs. Manipuri,4.96224054070603
Akajeru vs. Mao Naga,3.6055743457496
Akajeru vs. Maonan,4.8834867516132
Akajeru vs. Maram Naga,4.73206601450817
Akajeru vs. Marathi,2.05914275132124
Akajeru vs. Marwari (India),4.57104504201489
Akajeru vs. Mewati,4.41567326178006
Akajeru vs. Milang,2.76248195131272
Akajeru vs. Min Bei Chinese,2.42164937381061
Akajeru vs. Min Nan Chinese,2.47850902604499
Akajeru vs. Miyako,3.17212210447434
Akajeru vs. Mlabri,2.58336727479574
Akajeru vs. Modern Greek,2.3385060347723
Akajeru vs. Moken,2.06782656003294
Akajeru vs. Mon,1.69726592024868
Akajeru vs. Mongghul,2.14275884392151
Akajeru vs. Moyon,4.60609156081953
Akajeru vs. Muduga,4.11116871503942
Akajeru vs. Mulam,3.09341924075546
Akajeru vs. Mundari,1.99764473811872
Akajeru vs. Nanai,1.1702279879184
Akajeru vs. Narua,3.80667487395052
Akajeru vs. Naukan Yupik,4.32725612629934
Akajeru vs. Negidal,1.9787008171747
Akajeru vs. Neo-Mandaic,3.56760646133786
Akajeru vs. Nepali,4.82283595065133
Akajeru vs. Nganasan,2.06233584565874
Akajeru vs. Nihali,4.54862630908146
Akajeru vs. Nimadi,2.83980049332655
Akajeru vs. Nocte Naga,5.00288586297131
Akajeru vs. North Azerbaijani,4.62618958605044
Akajeru vs. North-Central Dargwa,4.56978005130448
Akajeru vs. Northeastern Thai,2.95704395054928
Akajeru vs. Northern Jinghpaw,2.6072899344715
Akajeru vs. Northern Pashto,3.23880562535208
Akajeru vs. Northern Pinghua,2.36493646544483
Akajeru vs. Northern Pumi,4.58260250848798
Akajeru vs. Northern Thai,3.1622903421745
Akajeru vs. Northern Yukaghir,4.09817280939876
Akajeru vs. Northwestern Kolami,4.63755660687664
Akajeru vs. Nung (Myanmar),2.82085330793709
